,text,favorited,favoriteCount,replyToSN,created1,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"@Boycie360 Can’t predict currently. I’m losing work left, right and centre as it’s football related so I may have to look elsewhere. #uber",FALSE,0,Boycie360,3/16/2020 17:34,3/16/2020,FALSE,1.2396E+18,1.23961E+18,2961800781,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BrynLaw,0,FALSE,FALSE,NA,NA
2,Uber drivers are losing their jobs over fake DUI complaints https://t.co/AhWs1NTjDr via @CNET #DUIArrests #FightDUICharges #Uber,FALSE,0,NA,3/16/2020 17:30,3/16/2020,FALSE,NA,1.2396E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DUI_Arrests,0,FALSE,FALSE,NA,NA
3,"RT @mvollmer1: #Uber expands sick pay for drivers during #coronavirus #pandemic
More drivers will be eligible for paid time off under the n…",FALSE,0,NA,3/16/2020 17:29,3/16/2020,FALSE,NA,1.2396E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sudeepkhatri,1,TRUE,FALSE,NA,NA
4,@itvlondon @vg123e how about 40 000 #Uber drivers ?@BorisJohnson,FALSE,0,itvlondon,3/16/2020 17:28,3/16/2020,FALSE,1.2396E+18,1.2396E+18,22919206,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",avirvisva,0,FALSE,FALSE,NA,NA
5,"#Uber expands sick pay for drivers during #coronavirus #pandemic
More drivers will be eligible for paid time off un… https://t.co/8S3TGwIw8U",FALSE,2,NA,3/16/2020 17:26,3/16/2020,TRUE,NA,1.2396E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",mvollmer1,1,FALSE,FALSE,NA,NA
6,Uber Eats waives delivery fees on orders from local restaurants during coronavirus pandemic https://t.co/N7b7U6j8rN… https://t.co/gCtlAq7Gdx,FALSE,0,NA,3/16/2020 17:26,3/16/2020,TRUE,NA,1.2396E+18,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Chris_1791,0,FALSE,FALSE,NA,NA
7,"<U+274C>Portrait de Pierre-Dimitri Gore-Coty @pierre_dimitri, le jeune Frenchy qui doit réinventer Uber !<U+0001F44D>
Ce Français de… https://t.co/ClXTBoLzK1",FALSE,0,NA,3/16/2020 17:24,3/16/2020,TRUE,NA,1.2396E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",VoituresVTC,0,FALSE,FALSE,NA,NA
8,"RT @Xavier_Delpech: À lire dans @dalloz actualité [en libre accès] l’interview de l’avocat Florent Masson 
Chauffeur #Uber : « L’arrêt de l…",FALSE,0,NA,3/16/2020 17:22,3/16/2020,FALSE,NA,1.2396E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Dalloz,10,TRUE,FALSE,NA,NA
9,#Uber says the amount of sick pay a driver receives will be based on their average daily earnings over the last six… https://t.co/uiVRhGTivt,FALSE,0,NA,3/16/2020 17:22,3/16/2020,TRUE,NA,1.2396E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",uberisationrrr,0,FALSE,FALSE,NA,NA
10,"RT @mirandita2013: Stella Maris Campos....el caso del choque del taxi no era taxi. Era #Uber 
Si es periodista, infórmese antes de hablar.…",FALSE,0,NA,3/16/2020 17:20,3/16/2020,FALSE,NA,1.2396E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ROBERTOPORCEL,2,TRUE,FALSE,NA,NA
11,"RT @dashi_asahido: <U+3089><U+30FC><U+3081><U+3093><U+671D><U+65E5><U+5802> <U+3092> #Google <U+3067><U+30C1><U+30A7><U+30C3><U+30AF> https://t.co/oKlTzONNlP
#<U+30E9><U+30FC><U+30E1><U+30F3> #<U+3089><U+30FC><U+3081><U+3093> #<U+897F><U+845B><U+897F><U+30E9><U+30FC><U+30E1><U+30F3> #<U+30E9><U+30FC><U+30E1><U+30F3><U+5C4B> #<U+30C1><U+30E3><U+30FC><U+30CF><U+30F3> #<U+671D><U+65E5><U+5802>
#<U+51FA><U+524D> #<U+30C7><U+30EA><U+30D0><U+30EA><U+30FC> #<U+30A6><U+30FC><U+30D0><U+30FC><U+30A4><U+30FC><U+30C4> #<U+30A6><U+30FC><U+30D0><U+30FC> #Uber",FALSE,0,NA,3/16/2020 17:17,3/16/2020,FALSE,NA,1.2396E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vs_gb1,1,TRUE,FALSE,NA,NA
12,"Abogados de Accidentes de Uber o Lyft en Los Angeles, CA
#Abogados #Accidentes #Uber #Lyft #LosAngeles #California… https://t.co/7nbVgmB9hC",FALSE,0,NA,3/16/2020 17:17,3/16/2020,TRUE,NA,1.2396E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",abogadosaccidca,0,FALSE,FALSE,NA,NA
